from,to,relationship,year
1,10,7,2022
1,11,7,2022
1,12,7,2022
2,13,7,2022
2,14,7,2022
2,15,7,2022
3,16,7,2022
3,17,7,2022
4,18,7,2022
5,19,7,2022
6,20,7,2022
7,13,7,2022
8,13,7,2022
9,12,7,2022
1,27,1,2022
2,22,1,2022
3,23,1,2022
4,29,1,2022
5,24,1,2022
6,25,1,2022
7,26,1,2022
8,21,1,2022
9,28,1,2022
1,30,7,2022
3,21,1,2019
8,33,2,2022
4,33,2,2022
1,34,2,2022
6,34,2,2022
2,35,2,2022
4,35,2,2022
7,35,2,2022
2,36,2,2022
5,36,2,2022
6,30,3,2022
6,31,3,2022
7,31,3,2022
3,32,3,2022
2,32,3,2022
7,32,3,2022
